"","text","favorite_count"
"1","🛍️ Mobile eCommerce has been on the rise massively in recent years due to pandemic and subsequent lockdowns. Find out which mCommerce trends are growing in 2022 in our recent article: https://t.co/f5Mge1xgIp https://t.co/ZgqMUpfAnH",0
"2","In this #VossBoss interview, Justine Routhier, owner of The Poppy Art Co, shared everything about opening a stationery store during the pandemic! (via @medium) https://t.co/KCAz193xBU  #Stationery #ArtShop https://t.co/RnxKzbmKAx",0
"3","@GBNEWS @Nigel_Farage This is why we have a GP problem.
""Overall, the average GP was found to be working 6.3 half-day sessions a week - the equivalent of just over 3 days - down from 6.6 before the pandemic, and 7.5 in 2010""
https://t.co/PoxOabHzDF",0
"4","@KarenPercy1 That’s kind of you to come back and say. We’re all overwhelmed by our own individual worlds at this point in the pandemic. Everything feels harder than it used to.",0
"5","@lavawitch Can you make a Corsi-Rosenthal box (potentials even as a classroom activity) and run it? They are easy to build &amp; work very well (running one we built in our home as we speak). https://t.co/uePHMBgrw8",1
"6","@MCSlab_uiuc There are mechanisms to report  rapid tests in some states, but the process is not simple or well-publicized. And it should be nat’l. (Not all states want to know there’s still a #pandemic.) 

Tell Congress you want robust pandemic funding if you want  free PCR: 202-224-3121.",2
"7","Most northerly mosque marks Eid celebrations - https://t.co/3viI2qYJJa{ 
Eid celebrations have been held in Scotland for the first time since the start of the pandemic.The festival marks the end of the month of Ramadan and on Monday Muslims travelled to see family for feasts a...",0
"8","@TaraBull808 Exactly!  We’ve had the Pandemic cure all along! @Vaxart https://t.co/5JD9tMktuG",0
"9","Great Lakes cruise ships are back🛳

After a two-year hiatus due to the pandemic, the Great Lakes cruise ship industry is finally resuming. That's good economic news for ports and nearby communities. The season will run from May through October.

Photo: Pearl Sea Cruises https://t.co/0xrEbHcCi3",0
"10","@clairecmc What perfect timing to create an added distraction from all the critical stuff the country is facing, eg, Funding Ukraine War, 2016 Election Conspiracy, J6 Insurrection, Inequality, Pandemic Concerns, Inflation-Price Gauging, Crimes, Rising Debt, Looming Depression, etc., etc.",0
"11","Mental health and wellness apps boomed during the pandemic. But it's not necessarily what the doctor ordered:

🧠There are often blurred lines between medical need and self care

⚕️Many apps aren't covered by strict healthcare privacy laws

Via @axios: https://t.co/zSUwg0eq8j",0
"12","@MythinformedMKE So the man people have trusted throughout this pandemic said it was a mistake meeting up with a known sex offender?? Really??? People don’t just make these kinds of mistakes- he knew 1000% who JE was and didn’t care. Disgusting",0
"13","Faculty and staff turnover within the @UNC_System spiked last summer. Was it the #pandemic or other factors? #NCed #UNC #highered https://t.co/2wGyxuCHqq",0
"14","Sure sounds like Tennessee is doing a lot to actively address inequities in schools from the pandemic. @SchwinnTeach provides a long list of investments in early literacy, summer school, and giving every school money to better serve all kids. Hope other states follow suit.
@hgse",0
"15","This #ParkAdvocacyDay, use your voice to show policymakers the importance of parks! ✍ https://t.co/ZKqsMYBfvY
️ 
How have #CAStateParks supported you physically, emotionally, or mentally during the pandemic? Or why  love the parks and why they need protecting. #RiseUpForParks https://t.co/2ugNaeyBTr",0
"16","@marcorubio Hmmm maybe that Pandemic and Putin kids adding had something g to do w/ that… #VoteforValDemmings",0
"17","@KittenMittensr6 We are seeing a real life version of “Don’t Look Up”, People losing rights in multiple countries, A sovereign country being attacked unprovoked, multiple military coups, oh and let’s not forget the pandemic, we are seeing a territory being cutoff from the healthcare system…",0
"18","@chrischirp @Tuliodna @sigallab @fucyanOvO @UKHSA @COGUK_ME from NHS(?)
“Order (COVID-19) Omicron PCR test kit
The UK has decided to deploy test kits in response to the risks of the Omicron variant. COVID-19 cases have soared by their highest number since the start of the pandemic as the Omicron variant continues to spread rapidly.
“???",0
"19","TONIGHT AT SIX: Members of the National Guard are seeing their term at Hillview Health Care Center come to an end. Hear how they assisted during the pandemic. https://t.co/atwKRN3xDX",0
"20","@RubinReport Just get up and move with our vast riches we obtained during a world-wide pandemic! Why didn’t anyone think of that?!?",0
"21","instagram pe ladiyañ laga dii hai aaj stories kee, undergrad meiñ zyada photo nahi kheenchta tha aur phir pandemic aaya toh esa regret hua ki bhai apna gnda phone chhupaane kee chakkar meiñ tumne kitna bada chutiyaapa kiya. Khalsa amiroñ ka college tha yaar, bahut ajeeb lgta tha",0
"22","@Castranosis I’m the same way! Normally I haven’t really minded being the one to always reach out, but I think the pandemic depression and just overwhelming awfulness going on in the world is just triggering a lot of insecurity and lately 😭",0
"23","@snyde043 Yeah. And looking back on a lot of my friendships (and even my marriage), I am almost always the proactive one to reach out and make plans. Maybe it’s the pandemic depression, but it would be nice if other friends would make an effort. Self doubt is creeping in a lot lately 🫠",0
"24","This song from@laurenebalthrop  came into my life during the pandemic. She put the way I felt into words and the melody swirled through my head for months, and now it can swirl through yours. Listen now! https://t.co/Tgzg3tUNWg https://t.co/ZjPivYwX4H",0
"25","Which Animal Viruses Could Infect People? Computers Are Racing to Find Out. https://t.co/yW8NmXZ0hn https://t.co/egWnFbnn6s",0
